name,size,color
минерва,150,1.0
джордж_уизли,150,0.0
блэк,150,0.0
гермиона_грейнджер,150,0.0
фред,150,0.0
дрей,150,0.0
реддл,150,0.0
рон_уизли,150,0.0
бродяга,150,0.0
кэти,150,0.0
миллисент,150,0.0
сири,150,0.0
цисси,150,0.0
блейз_забини,150,0.0
повелитель,150,0.0
марлин,150,0.0
блондин,150,0.0
регулус,150,0.0
рабастан,150,0.0
дин,150,0.0
лаванда,150,0.0
лонгботтом,150,0.0
андромеда,150,0.0
мальчик-который-выжил,150,0.0
люпин,150,0.0
паркинсон,150,2.0
снегг,150,0.0
северус_снейп,150,3.0
рон,150,2.0
блез,150,2.0
дрейко,150,0.0
оливер,150,4.0
лорду,150,0.0
альбусом_дамблдором,150,0.0
чарли,150,0.0
мальсибер,150,0.0
близнец,150,0.0
булстроуд,150,0.0
лунатик,150,0.0
эмили,150,0.0
зельевар,150,3.0
панс,150,0.0
гринграсс,150,2.0
тонкс,150,0.0
люциус,150,2.0
невилл,150,2.0
нимфадора,150,0.0
северуса_снейпа,150,0.0
слизнорт,150,0.0
учитель,150,0.0
сэль,150,0.0
трейси,150,2.0
лорд,150,0.0
римус,150,0.0
том,150,0.0
пэнси,150,2.0
забини,150,2.0
старик,150,0.0
эванс,150,0.0
миона,150,0.0
астория,150,2.0
астория_гринграсс,150,0.0
ремус,150,0.0
уизли,150,2.0
гойлом,150,0.0
ал,150,0.0
парвати,150,0.0
скорпиус,150,2.0
сириус_блэк,150,0.0
ол,150,0.0
волдеморт,150,0.0
поттер,150,2.0
сиэль,150,2.0
ала,150,0.0
джордж,150,2.0
нотт,150,2.0
милорд,150,0.0
гарольд,150,0.0
грейнджер,150,2.0
тео,150,2.0
герми,150,0.0
альбус,150,0.0
декан,150,1.0
лестрейндж,150,0.0
руди,150,0.0
вуд,150,4.0
марк,150,0.0
теодор,150,2.0
панси,150,2.0
гриффиндорец,150,2.0
гермиона,150,2.0
ойген,150,0.0
рыжик,150,0.0
флинт,150,4.0
малфой,150,2.0
снейп,150,3.0
айк,150,0.0
друэлла,150,0.0
гарри_поттер,150,0.0
люц,150,0.0
сохатый,150,0.0
уизел,150,0.0
драко_малфой,150,0.0
белла,150,0.0
гари,150,0.0
доркас,150,0.0
сьюзен,150,0.0
блейза,150,0.0
гораций,150,0.0
софи,150,0.0
николь,150,0.0
люпина,150,0.0
мальчик,150,0.0
директор,150,1.0
ханна,150,0.0
близнец_уизли,150,0.0
сами-знаете-кто,150,0.0
скорпи,150,0.0
джин,150,0.0
питер_петтигрю,150,0.0
геланор,150,0.0
джинни,150,2.0
мэйбл,150,0.0
маркус,150,4.0
альбус_дамблдор,150,0.0
керли,150,2.0
анджелина,150,0.0
джеймс_поттер,150,0.0
снэйп,150,0.0
нарцисса,150,0.0
лорд_волдеморт,150,0.0
нарцисса_малфой,150,0.0
верити,150,0.0
ромильда,150,0.0
блэка,150,0.0
беллатрикс,150,0.0
джейслин,150,0.0
дамблдор,150,0.0
рудольфус,150,0.0
директриса,150,0.0
северус,150,3.0
рюу,150,0.0
мастер_зелий,150,3.0
лили_эванс,150,0.0
миссис_блэк,150,0.0
вальбурга,150,0.0
родольфус,150,0.0
гойл,150,0.0
флитвик,150,0.0
дину,150,0.0
гарриет,150,0.0
ульфат,150,0.0
симус,150,0.0
джим,150,0.0
лили,150,0.0
диппет,150,0.0
перси,150,0.0
хендрик,150,0.0
лорд_малфой,150,0.0
волан-де-морт,150,0.0
лоли,150,0.0
блейз,150,2.0
ноа,150,0.0
помона_спраут,150,0.0
том_риддл,150,0.0
риддл,150,0.0
эйвери,150,0.0
макгонагалл,150,1.0
люциус_малфой,150,0.0
дорея,150,0.0
гарри,150,2.0
рональд,150,0.0
дафна,150,2.0
драко,150,2.0
эни,150,0.0
крэбб,150,0.0
филиус_флитвик,150,0.0
дамби,150,0.0
джеймс,150,0.0
майю,150,0.0
лаванда_браун,150,0.0
хокинг,150,0.0
финниган,150,0.0
декан_гриффиндора,150,0.0
пэнс,150,0.0
уизлетта,150,0.0
рем,150,0.0
роза,150,0.0
минерва_макгонагалл,150,0.0
профессор,150,3.0
билл,150,2.0
сириус,150,0.0
маккиннон,150,0.0
